StockCode,Description,Category
21900,"KEY FOB , SHED",Gift & Novelty
22030,SWALLOWS GREETING CARD,Stationery & Gift Wrap
22182,CAKE STAND VICTORIAN FILIGREE SMALL,Kitchen & Dining
22470,HEART OF WICKER LARGE,Bags & Storage
21531,RED RETROSPOT SUGAR JAM BOWL,Kitchen & Dining
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,Home Decor & Lighting
22894,TABLECLOTH RED APPLES DESIGN ,Uncategorized
22570,FELTCRAFT CUSHION RABBIT,Home Decor & Lighting
22356,CHARLOTTE BAG PINK POLKADOT,Bags & Storage
22077,6 RIBBONS RUSTIC CHARM,Stationery & Gift Wrap
22041,"RECORD FRAME 7"" SINGLE SIZE ",Home Decor & Lighting
22937,BAKING MOULD CHOCOLATE CUPCAKES,Kitchen & Dining
21592,RETROSPOT CIGAR BOX MATCHES ,Bags & Storage
22654,DELUXE SEWING KIT ,Craft & Hobby
37500,TEA TIME TEAPOT IN GIFT BOX,Kitchen & Dining
21818,GLITTER CHRISTMAS HEART ,Seasonal & Occasion
21918,SET 12 KIDS COLOUR  CHALK STICKS,Uncategorized
22080,RIBBON REEL SPOTS DESIGN ,Stationery & Gift Wrap
22424,ENAMEL BREAD BIN CREAM,Uncategorized
22526,WHEELBARROW FOR CHILDREN ,Uncategorized
85014B,RED RETROSPOT UMBRELLA,Gift & Novelty
22738,RIBBON REEL SNOWY VILLAGE,Stationery & Gift Wrap
22540,MINI JIGSAW CIRCUS PARADE ,Gift & Novelty
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,Home Decor & Lighting
84406B,CREAM CUPID HEARTS COAT HANGER,Home Decor & Lighting
21035,SET/2 RED RETROSPOT TEA TOWELS ,Kitchen & Dining
22271,FELTCRAFT DOLL ROSIE,Gift & Novelty
22100,SKULLS SQUARE TISSUE BOX,Bags & Storage
21620,SET OF 4 ROSE BOTANICAL CANDLES,Home Decor & Lighting
22272,FELTCRAFT DOLL MARIA,Gift & Novelty
22458,CAST IRON HOOK GARDEN FORK,Home Decor & Lighting
22745,POPPY'S PLAYHOUSE BEDROOM ,Uncategorized
22952,60 CAKE CASES VINTAGE CHRISTMAS,Kitchen & Dining
79321,CHILLI LIGHTS,Home Decor & Lighting
22444,GROW YOUR OWN PLANT IN A CAN ,Uncategorized
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,Bags & Storage
22415,WHITE TISSUE REAM,Uncategorized
22379,RECYCLING BAG RETROSPOT ,Bags & Storage
22163,HEART STRING MEMO HOLDER HANGING,Home Decor & Lighting
22846,BREAD BIN DINER STYLE RED ,Uncategorized
48188,DOORMAT WELCOME PUPPIES,Home Decor & Lighting
22708,WRAP DOLLY GIRL,Stationery & Gift Wrap
22383,LUNCH BAG SUKI  DESIGN ,Kitchen & Dining
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,Bags & Storage
22055,MINI CAKE STAND  HANGING STRAWBERY,Kitchen & Dining
85049A,TRADITIONAL CHRISTMAS RIBBONS,Stationery & Gift Wrap
22111,SCOTTIE DOG HOT WATER BOTTLE,Kitchen & Dining
21527,RED RETROSPOT TRADITIONAL TEAPOT ,Uncategorized
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,Home Decor & Lighting
22813,PACK 3 BOXES BIRD PANNETONE ,Bags & Storage
22737,RIBBON REEL CHRISTMAS PRESENT ,Stationery & Gift Wrap
22273,FELTCRAFT DOLL MOLLY,Gift & Novelty
22817,CARD SUKI BIRTHDAY,Stationery & Gift Wrap
21892,TRADITIONAL WOODEN CATCH CUP GAME ,Kitchen & Dining
21991,BOHEMIAN COLLAGE STATIONERY SET,Uncategorized
22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,Kitchen & Dining
35598D,PINK/WHITE CHRISTMAS TREE 60CM,Seasonal & Occasion
22653,BUTTON BOX ,Bags & Storage
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,Stationery & Gift Wrap
22601,CHRISTMAS RETROSPOT ANGEL WOOD,Seasonal & Occasion
22614,PACK OF 12 SPACEBOY TISSUES,Kitchen & Dining
85118,HEART T-LIGHT HOLDER,Home Decor & Lighting
20973,12 PENCIL SMALL TUBE WOODLAND,Gift & Novelty
21479,WHITE SKULL HOT WATER BOTTLE ,Kitchen & Dining
84836,ZINC METAL HEART DECORATION,Home Decor & Lighting
21836,GINGHAM OVEN GLOVE RED HEART ,Kitchen & Dining
22513,DOORSTOP FOOTBALL DESIGN,Home Decor & Lighting
22865,HAND WARMER OWL DESIGN,Kitchen & Dining
21498,RED RETROSPOT WRAP ,Stationery & Gift Wrap
20977,36 PENCILS TUBE WOODLAND,Stationery & Gift Wrap
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,Bags & Storage
85066,CREAM SWEETHEART MINI CHEST,Gift & Novelty
22838,"CAKE TIN, 3 TIER RED/IVORY",Kitchen & Dining
85177,BASKET OF FLOWERS SEWING KIT,Bags & Storage
21754,HOME BUILDING BLOCK WORD,Gift & Novelty
22581,WOOD STOCKING CHRISTMAS SCANDISPOT,Seasonal & Occasion
21314,SMALL GLASS HEART TRINKET POT,Bags & Storage
22469,HEART OF WICKER SMALL,Bags & Storage
20975,12 PENCILS SMALL TUBE RED RETROSPOT,Stationery & Gift Wrap
22690,DOORMAT HOME SWEET HOME BLUE ,Home Decor & Lighting
22120,WELCOME  WOODEN BLOCK LETTERS,Gift & Novelty
21257,VICTORIAN SEWING BOX MEDIUM,Bags & Storage
20972,PINK CREAM FELT CRAFT TRINKET BOX ,Bags & Storage
84870B,BLUE GEISHA GIRL ,Kids
22069,BROWN  PIRATE TREASURE CHEST ,Uncategorized
22294,HEART FILIGREE DOVE  SMALL,Gift & Novelty
21907,I'M ON HOLIDAY METAL SIGN,Home Decor & Lighting
22071,SMALL WHITE RETROSPOT MUG IN BOX ,Kitchen & Dining
22453,MEASURING TAPE BABUSHKA BLUE,Uncategorized
84670,JAPANESE CROCHETED ANIMAL,Uncategorized
22124,SET OF 2 TEA TOWELS PING MICROWAVE,Kitchen & Dining
21871,SAVE THE PLANET MUG,Kitchen & Dining
21114,LAVENDER SCENTED FABRIC HEART,Gift & Novelty
84029E,RED WOOLLY HOTTIE WHITE HEART.,Gift & Novelty
21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,Uncategorized
21481,FAWN BLUE HOT WATER BOTTLE,Kitchen & Dining
22518,CHILDS GARDEN BRUSH BLUE,Garden & Nature
22637,PIGGY BANK RETROSPOT ,Uncategorized
21716,BOYS VINTAGE TIN SEASIDE BUCKET,Bags & Storage
22727,ALARM CLOCK BAKELIKE RED ,Home Decor & Lighting
20685,DOORMAT RED RETROSPOT,Home Decor & Lighting
22752,SET 7 BABUSHKA NESTING BOXES,Bags & Storage
20725,LUNCH BAG RED RETROSPOT,Kitchen & Dining
82583,HOT BATHS METAL SIGN,Home Decor & Lighting
22942,CHRISTMAS LIGHTS 10 SANTAS ,Home Decor & Lighting
22371,AIRLINE BAG VINTAGE TOKYO 78,Bags & Storage
22750,FELTCRAFT PRINCESS LOLA DOLL,Gift & Novelty
85015,SET OF 12  VINTAGE POSTCARD SET,Uncategorized
22686,FRENCH BLUE METAL DOOR SIGN No,Home Decor & Lighting
20727,LUNCH BAG  BLACK SKULL.,Kitchen & Dining
21098,CHRISTMAS TOILET ROLL,Seasonal & Occasion
21232,STRAWBERRY CERAMIC TRINKET BOX,Bags & Storage
85039B,S/4 IVORY MINI ROSE CANDLE IN BOWL,Kitchen & Dining
22355,CHARLOTTE BAG SUKI DESIGN,Bags & Storage
22595,CHRISTMAS GINGHAM HEART,Seasonal & Occasion
22169,FAMILY ALBUM WHITE PICTURE FRAME,Home Decor & Lighting
22456,NATURAL SLATE CHALKBOARD LARGE ,Uncategorized
84946,ANTIQUE SILVER TEA GLASS ETCHED,Kitchen & Dining
22867,HAND WARMER BIRD DESIGN,Kitchen & Dining
22112,CHOCOLATE HOT WATER BOTTLE,Kitchen & Dining
22798,ANTIQUE GLASS DRESSING TABLE POT,Uncategorized
21361,LOVE LARGE WOOD LETTERS ,Gift & Novelty
90118,PINK DAISY BAG CHARM,Bags & Storage
84625A,PINK NEW BAROQUECANDLESTICK CANDLE,Home Decor & Lighting
22766,PHOTO FRAME CORNICE,Home Decor & Lighting
35095B,RED VICTORIAN FABRIC OVAL BOX,Bags & Storage
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,Bags & Storage
21360,JOY LARGE WOOD LETTERS,Gift & Novelty
21390,FILIGRIS HEART WITH BUTTERFLY,Garden & Nature
22113,GREY HEART HOT WATER BOTTLE,Kitchen & Dining
79192A,RETRO PLASTIC 70'S TRAY,Uncategorized
21086,SET/6 RED SPOTTY PAPER CUPS,Stationery & Gift Wrap
21213,PACK OF 72 SKULL CAKE CASES,Kitchen & Dining
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,Kitchen & Dining
22561,WOODEN SCHOOL COLOURING SET,Uncategorized
21158,MOODY GIRL DOOR HANGER ,Home Decor & Lighting
22633,HAND WARMER UNION JACK,Kitchen & Dining
22314,OFFICE MUG WARMER CHOC+BLUE,Kitchen & Dining
35961,FOLKART ZINC HEART CHRISTMAS DEC,Seasonal & Occasion
22563,HAPPY STENCIL CRAFT,Craft & Hobby
10133,COLOURING PENCILS BROWN TUBE,Stationery & Gift Wrap
22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",Home Decor & Lighting
22728,ALARM CLOCK BAKELIKE PINK,Home Decor & Lighting
22794,SWEETHEART WIRE MAGAZINE RACK,Gift & Novelty
84985A,SET OF 72 GREEN PAPER DOILIES,Kitchen & Dining
22733,3D TRADITIONAL CHRISTMAS STICKERS,Seasonal & Occasion
21210,SET OF 72 RETROSPOT PAPER  DOILIES,Kitchen & Dining
22796,PHOTO FRAME 3 CLASSIC HANGING,Home Decor & Lighting
47591D,PINK FAIRY CAKE CHILDRENS APRON,Kitchen & Dining
84375,SET OF 20 KIDS COOKIE CUTTERS,Kitchen & Dining
22730,ALARM CLOCK BAKELIKE IVORY,Home Decor & Lighting
22753,SMALL YELLOW BABUSHKA NOTEBOOK ,Stationery & Gift Wrap
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,Uncategorized
21348,PINK SPOTS CHOCOLATE NESTING BOXES ,Bags & Storage
22679,"FRENCH BLUE METAL DOOR SIGN, 4",Home Decor & Lighting
51014C,"FEATHER PEN,COAL BLACK",Stationery & Gift Wrap
21115,ROSE CARAVAN DOORSTOP,Home Decor & Lighting
84832,ZINC WILLIE WINKIE  CANDLE STICK,Home Decor & Lighting
21977,PACK OF 60 PINK PAISLEY CAKE CASES,Kitchen & Dining
22912,YELLOW COAT RACK PARIS FASHION,Uncategorized
16236,KITTY PENCIL ERASERS,Uncategorized
85150,LADIES & GENTLEMEN METAL SIGN,Home Decor & Lighting
22554,PLASTERS IN TIN WOODLAND ANIMALS,Bags & Storage
21523,DOORMAT FANCY FONT HOME SWEET HOME,Home Decor & Lighting
22157,ANGEL DECORATION WITH LACE PADDED,Home Decor & Lighting
22972,CHILDREN'S SPACEBOY MUG,Kitchen & Dining
22114,HOT WATER BOTTLE TEA AND SYMPATHY,Kitchen & Dining
47570B,TEA TIME TABLE CLOTH,Kitchen & Dining
21326,AGED GLASS SILVER T-LIGHT HOLDER,Home Decor & Lighting
22306,SILVER MUG BONE CHINA TREE OF LIFE,Kitchen & Dining
84987,SET OF 36 TEATIME PAPER DOILIES,Kitchen & Dining
22309,TEA COSY RED  STRIPE,Kitchen & Dining
21121,SET/10 RED POLKADOT PARTY CANDLES,Home Decor & Lighting
22651,GENTLEMAN SHIRT REPAIR KIT ,Craft & Hobby
90018C,SILVER BLACK ORBIT DROP EARRINGS,Uncategorized
22375,AIRLINE BAG VINTAGE JET SET BROWN,Bags & Storage
37370,RETRO COFFEE MUGS ASSORTED,Kitchen & Dining
22166,"WALL MIRROR , RECT DIAMANTE, PINK/",Home Decor & Lighting
21904,HOUSE WRECKING METAL SIGN ,Home Decor & Lighting
72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,Home Decor & Lighting
84279P,CHERRY BLOSSOM  DECORATIVE FLASK,Uncategorized
21245,GREEN POLKADOT PLATE ,Kitchen & Dining
22812,PACK 3 BOXES CHRISTMAS PANNETONE,Bags & Storage
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,Home Decor & Lighting
22524,CHILDRENS GARDEN GLOVES BLUE,Kitchen & Dining
21135,VICTORIAN  METAL POSTCARD SPRING,Uncategorized
22186,RED STAR CARD HOLDER,Home Decor & Lighting
20963,APPLE BATH SPONGE,Uncategorized
22625,RED KITCHEN SCALES,Kitchen & Dining
84992,72 SWEETHEART FAIRY CAKE CASES,Kitchen & Dining
85132A,CHARLIE + LOLA BISCUITS TINS,Bags & Storage
22377,BOTTLE BAG RETROSPOT ,Kitchen & Dining
22491,PACK OF 12 COLOURED PENCILS,Stationery & Gift Wrap
22920,HERB MARKER BASIL,Uncategorized
84536B,FAIRY CAKES NOTEBOOK A7 SIZE,Stationery & Gift Wrap
21976,PACK OF 60 MUSHROOM CAKE CASES,Kitchen & Dining
22386,JUMBO BAG PINK POLKADOT,Bags & Storage
21032,SPACE CADET WHITE,Uncategorized
35970,ZINC FOLKART SLEIGH BELLS,Uncategorized
21901,"KEY FOB , BACK DOOR ",Home Decor & Lighting
72815,3 WICK CHRISTMAS BRIAR CANDLE ,Home Decor & Lighting
21668,RED STRIPE CERAMIC DRAWER KNOB,Home Decor & Lighting
22816,CARD MOTORBIKE SANTA,Stationery & Gift Wrap
22091,EMPIRE TISSUE BOX,Bags & Storage
20974,12 PENCILS SMALL TUBE SKULL,Stationery & Gift Wrap
22133,PINK LOVE HEART SHAPE CUP,Kitchen & Dining
21231,SWEETHEART CERAMIC TRINKET BOX,Bags & Storage
