InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537375,21900,"KEY FOB , SHED",3,2010-12-06 12:55:00,0.65,17019.0,United Kingdom
527380,22030,SWALLOWS GREETING CARD,12,2010-10-17 12:52:00,0.42,14953.0,United Kingdom
525335,22182,CAKE STAND VICTORIAN FILIGREE SMALL,24,2010-10-05 11:24:00,1.45,14298.0,United Kingdom
539718,22470,HEART OF WICKER LARGE,1,2010-12-21 13:06:00,5.91,,United Kingdom
531382,21531,RED RETROSPOT SUGAR JAM BOWL,1,2010-11-07 16:29:00,2.55,16549.0,United Kingdom
530659,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,24,2010-11-04 10:26:00,0.95,15073.0,United Kingdom
530073,22894,TABLECLOTH RED APPLES DESIGN ,1,2010-11-01 12:22:00,8.5,15958.0,United Kingdom
528057,22570,FELTCRAFT CUSHION RABBIT,4,2010-10-20 11:58:00,3.75,18241.0,United Kingdom
539587,22356,CHARLOTTE BAG PINK POLKADOT,40,2010-12-20 13:10:00,0.72,14298.0,United Kingdom
527174,22077,6 RIBBONS RUSTIC CHARM,2,2010-10-15 11:40:00,4.21,,United Kingdom
538172,22041,"RECORD FRAME 7"" SINGLE SIZE ",12,2010-12-10 09:33:00,2.55,15805.0,United Kingdom
539663,22937,BAKING MOULD CHOCOLATE CUPCAKES,1,2010-12-21 10:26:00,2.55,17961.0,United Kingdom
537208,21592,RETROSPOT CIGAR BOX MATCHES ,2,2010-12-05 15:12:00,1.25,15889.0,United Kingdom
526854,22654,DELUXE SEWING KIT ,2,2010-10-13 12:50:00,5.95,14399.0,United Kingdom
538146,37500,TEA TIME TEAPOT IN GIFT BOX,2,2010-12-09 16:10:00,9.95,15596.0,United Kingdom
534388,21818,GLITTER CHRISTMAS HEART ,3,2010-11-22 12:59:00,0.85,14994.0,United Kingdom
525484,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,2010-10-05 15:52:00,0.42,14350.0,United Kingdom
525452,22080,RIBBON REEL SPOTS DESIGN ,10,2010-10-05 14:12:00,1.65,15105.0,United Kingdom
527027,22424,ENAMEL BREAD BIN CREAM,1,2010-10-14 12:10:00,12.75,12838.0,United Kingdom
529991,22526,WHEELBARROW FOR CHILDREN ,1,2010-10-31 16:21:00,12.75,15879.0,United Kingdom
530332,85014B,RED RETROSPOT UMBRELLA,1,2010-11-02 13:57:00,12.72,,United Kingdom
536197,22738,RIBBON REEL SNOWY VILLAGE,5,2010-11-30 13:02:00,1.65,13444.0,United Kingdom
536587,22540,MINI JIGSAW CIRCUS PARADE ,24,2010-12-01 16:33:00,0.42,14142.0,United Kingdom
525410,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,1,2010-10-05 12:37:00,3.75,16393.0,United Kingdom
537434,84406B,CREAM CUPID HEARTS COAT HANGER,1,2010-12-06 16:57:00,6.77,,United Kingdom
529504,21035,SET/2 RED RETROSPOT TEA TOWELS ,1,2010-10-28 14:19:00,5.91,,United Kingdom
539225,22271,FELTCRAFT DOLL ROSIE,6,2010-12-16 13:02:00,2.95,15379.0,United Kingdom
537638,22100,SKULLS SQUARE TISSUE BOX,1,2010-12-07 15:28:00,2.51,,United Kingdom
538708,21620,SET OF 4 ROSE BOTANICAL CANDLES,12,2010-12-14 10:43:00,1.25,16202.0,United Kingdom
537202,22272,FELTCRAFT DOLL MARIA,1,2010-12-05 14:25:00,2.95,14506.0,United Kingdom
534347,22458,CAST IRON HOOK GARDEN FORK,5,2010-11-22 11:52:00,2.55,15024.0,United Kingdom
530015,22745,POPPY'S PLAYHOUSE BEDROOM ,6,2010-11-01 10:42:00,2.1,15365.0,United Kingdom
534859,22952,60 CAKE CASES VINTAGE CHRISTMAS,2,2010-11-24 13:56:00,1.28,,United Kingdom
538078,79321,CHILLI LIGHTS,4,2010-12-09 14:25:00,4.95,16255.0,United Kingdom
531437,22444,GROW YOUR OWN PLANT IN A CAN ,24,2010-11-08 12:20:00,1.25,13377.0,United Kingdom
525002,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,8,2010-10-03 10:27:00,2.55,17022.0,United Kingdom
528586,22415,WHITE TISSUE REAM,1,2010-10-22 13:59:00,7.95,17191.0,United Kingdom
538633,22379,RECYCLING BAG RETROSPOT ,1,2010-12-13 13:28:00,2.1,16726.0,United Kingdom
534389,22163,HEART STRING MEMO HOLDER HANGING,1,2010-11-22 13:02:00,3.36,,United Kingdom
532794,22846,BREAD BIN DINER STYLE RED ,1,2010-11-14 14:17:00,16.95,17497.0,United Kingdom
531435,48188,DOORMAT WELCOME PUPPIES,2,2010-11-08 12:06:00,7.95,14688.0,United Kingdom
528407,22708,WRAP DOLLY GIRL,25,2010-10-22 09:09:00,0.42,17863.0,United Kingdom
529915,22383,LUNCH BAG SUKI  DESIGN ,10,2010-10-31 14:14:00,1.65,15675.0,United Kingdom
532677,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,20,2010-11-14 12:07:00,1.95,15615.0,United Kingdom
527157,22055,MINI CAKE STAND  HANGING STRAWBERY,2,2010-10-15 11:25:00,3.36,,United Kingdom
526940,85049A,TRADITIONAL CHRISTMAS RIBBONS,1,2010-10-14 10:16:00,1.25,18041.0,United Kingdom
533516,22111,SCOTTIE DOG HOT WATER BOTTLE,12,2010-11-17 14:53:00,4.25,16684.0,United Kingdom
527072,21527,RED RETROSPOT TRADITIONAL TEAPOT ,2,2010-10-14 14:14:00,7.95,14296.0,United Kingdom
533080,22458,CAST IRON HOOK GARDEN FORK,8,2010-11-16 09:28:00,2.55,14189.0,United Kingdom
532821,20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,1,2010-11-14 16:32:00,1.25,14382.0,United Kingdom
536592,22813,PACK 3 BOXES BIRD PANNETONE ,2,2010-12-01 17:06:00,4.21,,United Kingdom
531232,22737,RIBBON REEL CHRISTMAS PRESENT ,5,2010-11-05 17:30:00,1.65,,EIRE
525856,22273,FELTCRAFT DOLL MOLLY,1,2010-10-07 13:05:00,2.95,13569.0,United Kingdom
539451,22817,CARD SUKI BIRTHDAY,2,2010-12-17 16:59:00,0.85,,United Kingdom
535270,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,2010-11-25 13:41:00,1.25,16126.0,United Kingdom
536989,21991,BOHEMIAN COLLAGE STATIONERY SET,1,2010-12-03 15:10:00,2.95,17238.0,United Kingdom
527520,22817,CARD SUKI BIRTHDAY,2,2010-10-18 13:18:00,0.85,,United Kingdom
533495,22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,12,2010-11-17 13:39:00,0.85,15515.0,United Kingdom
526642,35598D,PINK/WHITE CHRISTMAS TREE 60CM,24,2010-10-12 13:26:00,0.65,12647.0,Germany
537240,22653,BUTTON BOX ,1,2010-12-06 10:08:00,4.21,,United Kingdom
531782,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,2010-11-09 14:48:00,2.95,16021.0,United Kingdom
537204,22601,CHRISTMAS RETROSPOT ANGEL WOOD,3,2010-12-05 14:45:00,0.85,15555.0,United Kingdom
536980,22952,60 CAKE CASES VINTAGE CHRISTMAS,2,2010-12-03 14:26:00,0.55,17819.0,United Kingdom
533114,22614,PACK OF 12 SPACEBOY TISSUES,3,2010-11-16 12:22:00,0.29,14675.0,United Kingdom
537804,85118,HEART T-LIGHT HOLDER,11,2010-12-08 13:17:00,1.25,12748.0,United Kingdom
529322,20973,12 PENCIL SMALL TUBE WOODLAND,2,2010-10-27 14:01:00,0.65,13246.0,United Kingdom
538841,21479,WHITE SKULL HOT WATER BOTTLE ,6,2010-12-14 13:11:00,3.75,16899.0,United Kingdom
526394,84836,ZINC METAL HEART DECORATION,12,2010-10-11 13:25:00,1.25,16527.0,United Kingdom
525882,21836,GINGHAM OVEN GLOVE RED HEART ,1,2010-10-07 14:28:00,7.62,,United Kingdom
537818,22513,DOORSTOP FOOTBALL DESIGN,4,2010-12-08 13:53:00,3.75,12766.0,Portugal
530184,22865,HAND WARMER OWL DESIGN,3,2010-11-02 10:47:00,2.1,17377.0,United Kingdom
531740,21498,RED RETROSPOT WRAP ,75,2010-11-09 12:47:00,0.42,15984.0,United Kingdom
526654,20977,36 PENCILS TUBE WOODLAND,1,2010-10-12 14:14:00,1.25,16932.0,United Kingdom
530332,20902,VINTAGE KEEPSAKE BOX PARIS DAYS,1,2010-11-02 13:57:00,12.72,,United Kingdom
527147,22379,RECYCLING BAG RETROSPOT ,10,2010-10-15 10:49:00,2.1,14168.0,United Kingdom
533528,22865,HAND WARMER OWL DESIGN,12,2010-11-17 15:08:00,2.1,15750.0,United Kingdom
531435,85066,CREAM SWEETHEART MINI CHEST,1,2010-11-08 12:06:00,12.75,14688.0,United Kingdom
535083,22838,"CAKE TIN, 3 TIER RED/IVORY",3,2010-11-25 09:46:00,14.95,14961.0,United Kingdom
537240,85177,BASKET OF FLOWERS SEWING KIT,2,2010-12-06 10:08:00,1.66,,United Kingdom
533154,21754,HOME BUILDING BLOCK WORD,3,2010-11-16 14:01:00,5.95,13458.0,United Kingdom
528615,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,5,2010-10-22 16:36:00,0.85,17231.0,United Kingdom
533338,21314,SMALL GLASS HEART TRINKET POT,8,2010-11-16 18:18:00,4.21,,United Kingdom
533027,22614,PACK OF 12 SPACEBOY TISSUES,111,2010-11-15 16:02:00,1.0,,United Kingdom
529810,22469,HEART OF WICKER SMALL,2,2010-10-31 11:01:00,1.65,16010.0,United Kingdom
538071,20975,12 PENCILS SMALL TUBE RED RETROSPOT,9,2010-12-09 14:09:00,1.28,,United Kingdom
531279,22690,DOORMAT HOME SWEET HOME BLUE ,4,2010-11-07 11:54:00,7.95,17525.0,United Kingdom
538722,22120,WELCOME  WOODEN BLOCK LETTERS,2,2010-12-14 11:12:00,9.95,17975.0,United Kingdom
538349,21257,VICTORIAN SEWING BOX MEDIUM,1,2010-12-10 14:59:00,16.13,,United Kingdom
537617,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2010-12-07 13:45:00,1.25,16086.0,United Kingdom
526405,22379,RECYCLING BAG RETROSPOT ,1,2010-10-11 13:53:00,4.21,,United Kingdom
536755,84870B,BLUE GEISHA GIRL ,1,2010-12-02 14:14:00,3.75,,United Kingdom
537240,22069,BROWN  PIRATE TREASURE CHEST ,3,2010-12-06 10:08:00,3.36,,United Kingdom
528759,22294,HEART FILIGREE DOVE  SMALL,24,2010-10-24 15:29:00,1.25,15337.0,United Kingdom
536956,21907,I'M ON HOLIDAY METAL SIGN,12,2010-12-03 12:43:00,2.1,14210.0,United Kingdom
539451,22071,SMALL WHITE RETROSPOT MUG IN BOX ,1,2010-12-17 16:59:00,7.62,,United Kingdom
530657,22453,MEASURING TAPE BABUSHKA BLUE,1,2010-11-04 10:13:00,2.95,12933.0,United Kingdom
528621,84670,JAPANESE CROCHETED ANIMAL,12,2010-10-24 10:41:00,0.42,14800.0,United Kingdom
535322,22124,SET OF 2 TEA TOWELS PING MICROWAVE,1,2010-11-25 15:19:00,2.51,,United Kingdom
533506,21871,SAVE THE PLANET MUG,12,2010-11-17 14:20:00,1.25,14152.0,United Kingdom
